,Title,Review,Rating
269,B.E.A.S.T,Got this beast at 30000 only .!,5
270,Liked,Awesome no words,5
271,3.5mm female port is much needed on cell phone devices,"Good product, but headphone converter quality is not good with in 3month it stoped working properly, 3.5mm port should be mounted in this device.....",4
272,Review,Portrait mode shots are not that good. PBattery life is goodfinger print sensing lot more to improveFace detection is supb,4
273,A bit over priced but good product,"What I like:1) The battery is sufficient. Works for me. The whole day passes easily and dash charging makes it even easier.2) Good screen, but the glossy nature causes reflection in bright lights causing a problem in viewing content. Brightening the screen helps a little.3) The camera is good, but you need to learn about different options. I am not sure why people are complaining about the camera. It is especially working fine after the night mode was introduced. Of course, lack of a telephoto lens is a sore point.4) The fingerprint is slow, but face recognition compensates for it. I have to test it on my brother to say about accuracy. But otherwise, it does work for me only.5) Good speed, smooth functioning, super sensitive touch.6) It comes with a protective cover and screen guard. Both good in quality. The screen guard is pre-applied. Less pain for me.dislike:1) For the price, they should have made it waterproof. One big drawback.2) For the price, they should have included stereo speakers. Another drawback.3) The adaptor allows you to use 3.5 headphones, but I got their bullet earbuds, so never tested. Headphones are not top notch but not bad either. The bullets should have been the part of the box.",4
274,kinda good enough,good phone for rough use,3
275,iPhone users please don't buy,Is good for gaming i play pubg the battery pack goes of quickly it would have been great if they were have given another slot for headphones,5
276,Worst customer service from amazon,Its been 2 weeks after i bought one plus 6T. There is sudden price drop in one plus 6T version and i contact Amazon . I get the response is we cannot do anything. Bad customer service. Nothing wrong about the phone it is beauty with beast . Loving it,1
277,Price slash is a big disappointment.,"Phone quality is awesome.I have purchased 6gb variant at 34999 and after few days 8gb variant price is reduced to 32,999, that's what made me sad though.",5
278,Back camera default,Back camera default,4
279,Good mobile phone,"Good mobile to buy if you like branded amazing photo quality, battery life is good( in 100% battery life you can play 6 hrs pubg) face recognition poor in low light but amazing in moderate light",5
280,Excellent,Excellent mobile. Fast delivery. Specifications sufficient. Value to money.,5
281,Super,Super,5
282,Best phone in this category,Amazing phone loved it,5
283,Very nice performance,Finger print doesn't respond quickly,5
284,Best in its price range,"Excellent photos, even at very low lights. This phone has ignited my love for photography once again.Call quality is really good, no noise that u get in plastic-back phones.Fingerprint option is excellent. Now i use fingerprint even to open my banking apps.Face recognition is handy when your hands are occupied.No wonder my several friends have dumped their iphones for this phone.",5
285,Fast,Really amazing. Worth the buy,5
286,battery fault,battery not good,5
287,About oneplus6t,Please my helpChange the bill name,4
288,Good,Bed fingerprints reader.,3
289,SuperGood product,It's a beast in almost every aspect.. performance.. looks.. worth the money.. only bad thing is no 3.5mm audio jack.. other than that nothing is wrong with the mobile.. a big thumbs up,5
290,I am falling in love with this,I love the one plus 6t it a great phone to operate,5
291,Good,"Good deal, prompt delivery",5
292,Good feel,Best in android,4
293,Working slow,Finger print senson working slow...battery also draining early.,1
294,"Best for gamers and internet users , worst for photography","Good things first , battery last for whole day , charges very fast , almost 70 % in 30 mins to 40 mins. Almost runs all applications without much fuss. Bad things are , camera clarity is worst the among the phones i used in last 5 yrs. Not water resistant,  finger prints are not accurate or fast. If you are not fond of photography then go for it. If you are buying this as ur primary phone thinking camera clarity in mind please dont even think about this phone. Just for normal games  movies songs and internet , you are definitely go for it because you have ample space to store all those",2
295,"Any way I am loving it, NEVER SETTLE","Good camera, when you put temper glass , then FR and FP Become a problem.You had to do thrice or more",5
296,Not bad,Like,5
297,EXCELLENT BATTERY BACKUP & CHARGING TIME,Very beautiful phone loved it... actually I thought to buy poco f1.. but ppl are telling both are same processor etc etc..but finally I buy this mobile..trust me guys this is the best Mobile..oly sad is after purchase of 10days ie 30-3-2019 I brought this mobile for 38k..on 10-4-2019 it has became 33500/- ...4.5k price dropped that's hurting me a lot.. other than this no issues with the mobile.. battery backup is excellent & charging time also excellent..buy blindly 😊,5
298,Great phone!,Very nice phone! Amazing speed!,4
299,nothing is important,"the phone speaker doesnot work well . and the customer care response  is very poor by amazon  , poor performance of the phone",1
300,"Excellent phone, it's really fast","Excellent phone, it's really fast with good photo quality, though a seperate listening port is always good at least I think so",5
301,A perfect smartphone,"It's like iPhone of android. Camera clarity, screen, battery life everything is just perfect. One must buy phone",5
302,Super fast,Nothing,5
303,Very bad quality and cuatomer service by Amazon!!!!!,"Never expected such a bad phone from OnePlus.  Battery draining very fast.  Face reading and finger print very bad.  Scratch on the screen.Amazon customer service very bad.  Even after one week of complaining issue still not resolved.  Unqualufied people try to solve your problem, which even we can do by reading the troubleshoiting manual.  Suggest better buy some other phone as OnePlus seem to have lost its quality after the phones being made in India!!!!!",1
304,It's great phone !!,Nice :),3
305,Hardware issue,Speaker and mice problem,4
306,Beast buy,Beast buy,5
307,Nice one,Super speed,5
308,Useless phone,Useless phone,1
309,Good phone.,Good,5
310,Phone is good but not for photography enthusiasts,"After 6 months of use i can this is best phone in this price segment. Amazingly fast never even once faced any lag, worth it.But i am disappointed by its camera definitely not flagship level, night mode is disaster. Low light photos are too average. But you can manage after installing gcam.Overall nice phone.",4
311,Nuce,Nice,5
312,Durability very poor,Unfortunately phone performance is outstandingBut durability and steadiness is questionableMy phone fell from hand once and all the screen just got cracked into piecesIt was not only limited to this but the back body also got completely cracked and into piecesIs this the quality given by a world class company,3
313,Simply awesome product,Speed..,5
314,Better then other android mobiles,Its good,5
315,Nice product go ahead,"Review after 15 daysBody built is very goodBattery is good happy with this.Ear speaker is very goodLoud speaker sound is very very good.Face unlock very fastFinger unlock is slow, new technology so not fast take time..Camera zooming is goodClearty of camera is good.Network strength is goodHaving complaint that logo is not that much  displayed need to sharp it more with back ground colour.Happy to buy.Suggestions:- infuture please give us updates of every new thing...",5
316,dead in 2 months,dead in 2 months,1
317,Best flagship killer,Must buy!,5
318,OnePlus for lifetime,Awesome no comments,5
319,Amazing,Superb phone,5
320,9.5/10,"This pic i am attaching, was taken in pitch black. My eyes couldn't see anything and this was the pic that was taken (sorry for the random image). Imagine how good the nightscape is. Now coming to the phone,Pros: face unlock is instantaneous, fingerprint reader is very fast, idk why they say it is slow. The display is a beauty, PUBG plays at 60fps, no heating at all after 1-1.5hrs of gaming, beautiful form factor. Amazing camera and good battery life+ fast charging.Cons: miss the headphone jack since bluetooth headsets mostly have some delay in sound transmission, using the type c to 3.5mm converter is just fine though, no wideangle photography, and no external sd card support which is a bummer",5
321,Cool,Very nice one plus,5
322,Simply one plus,Amazing features,5
323,Money waste product,camera and fingerprint is no good..,2
324,Giud phone,"Nic ,awesome",5
325,Speakers not working properly,Not satisfactory... In bottom two speakers only one is working and also there is a scratch mark in newly unbox phone on screen protector . Please do something for that.,3
326,Excellent performance,Excellent performance,5
327,Good,Heating is a problem,5
328,lucha PHONE,GHATIYA,1
329,Very satisfied,"I loved it,very satisfied worth value",5
330,Best cell phone,One plus 6t is best phone but there are sum issue in it lyk finger lock itz take 2  sec to open the lock n have to try mre den 2 tyms n abt face lock it is just ossum itz lock opens in with in seconds so I gave 5 star to face lock but poor finger lock....n camera and battery back up is also gud  over all gud,4
331,Ek no,Superb,5
332,Love it,This is my first OnePlus deviceAnd it's nice to use,5
333,Amazing phone,"Fingerprint sensor is a bit finicky, refuses to unlock phone occasionally, rest all is amazing",5
334,For the first time in my life got such issues,"I am a Samsung user and it was always smooth to use. Never faced any issues/error.Recently I bought Oneplus 6T from amazon. The over all phone is good. The best is sound quality and space on phone-128 gb. However, I encountered an error - Error - can't hold calls and all outgoing calls were  not possible. When I read on the net , got to know how to resolve this error. Earlier also I got some other error. I wish I had not switched to this brand and would have continued using Samsung or could have taken Iphone.",2
335,Best phone ever,best phone my 1st one plus mobile,5
336,Finger print reader is not proper.,Finger print reader is not proper.,4
337,Thanks so much,I like this mobile excellent speed and looking smart,5
338,Speed Master,It is super speed.But the fingerprint reader on display it is little slow than a hard touch.Also I can't accept you guys decreased the price after I bought it.33000 for 8gb ram.I bought it 38000.It kills me you Amazon🤪🤪🤪🤪🤪,5
339,Best smartphone,OnePlus 6T is the best value for money smartphone in the premium smartphone range. There cannot and should not be a question about this. Whether one should buy it or not is a different question altogether!! Every one plus phone is worth buying. My mom is still using One plus one base variant of 1 GB ram and 16GB memory. It is still working fine without any lags then think about the 6T,5
340,Good,Very nice to handle and backup with speed awesome,5
341,Experience speed like never before,"Flagship killer ,one of the best smartphones ever made.",5
342,Chines Phone,Plz dont buy this phone,1
343,Trustable phone,Super phone ... But the Facebook Messenger app is getting hang some time. Camera super. Night shots great. Amoled display super. Overall super.,5
344,Flagship killer,Best Phone ever luv one plus,5
345,Very good 👍😊,Very good 👍😊,5
346,"Change from ios to android,Easy to handle","Amazing phone, battery backup is good not much but good comparing the gaming mode, camera is very good considering night mode and promode plus video 4k, the SPEED being android is excellent, i am happy after buying this phone changing from ios, no hardships are there one can get used to it easily",5
347,good,good product,4
348,I love it,Nice product,4
349,Not satisfied,Phone is good ..but fingerprint reader really bad .Battery life is very poor . Camera quality also not satisfied.Currier service is really bad. Received phone after 4 days even having prime membership,2
350,Go for it,JUST AWESOME,5
351,Satisfied with this phone,Each and everything good but playing the game time phone become heat. Other than that all are good,5
352,The Best camera,"I could say that probably the Best Camera which we all need in this price range......One plus 6 , excellent",5
353,about 1+6phone,This Is such a nice phone but the finger reading is very slow👏👍,4
354,5month review with OnePlus,"Great mobile. But never expected that it gets heated soon, battery drains soon, because everything runs on high resolution. And also I appreciate the dash charge. That makes me forget about the battery draining problem. But should definitely carry the charger all the time",5
355,Amazing Phone,I was using I phone for 10 years and wanted to change from Apple to android. I browsed many reviews regarding one plus 6t and got convinced. Finally bought it and got amazed by it's style. Now it's been more than 2 weeks. I love the battery backup and love it's experience working on it. One who is using it will surely fall in love with this one plus 6 t.,5
356,Same problem repeatedly,"Very bad experience, same volume control is not working repeatedly, such a expensive product quality is not good",1
357,Gud,Nice,5
358,Like,Good,5
359,Best phone ever..,This is the best phone ever I have used.. Everything is perfect. The fingerprint reader worked well for me and no problem. Photos are amazing and battery backup is good enough. Better then Honor view 20.. Go for it,5
360,amazing device,its dope,5
361,Go for it,Don't think too much. Just go for it. U will be happy and feel proud. Trust me.,5
362,Battery life & fingerprint reader,"""Battery life"" isn't as expected. With the internet active, one can expect a battery life of 6 to 8 hrs approx.But the ""fingerprint reader"" is truly world apart! Nothing could possibly match this.",5
363,perfect,perfect,5
364,Fingerprint,"finger print is slow and do not recognize sometimes, other all things are perfect at this price.",4
365,Working as expected,Working as expected,4
366,Price High not affordable economy class people..,Too much high price there is no business in India but a economic 20000/- people's think and buy about it?100%+++profit less profit high volume sail=+++profit××$¥€=100%,5
367,Defective product delivered,Delivered defective product. Sim slot 1 doesn't work and return date expired within 2 weeks before we could understand the defect,1
368,Better,Nice,3
369,Best in the class,Truly the benchmark phone with cutting edge technology and performance. Fingerprint is little slow but over all a very nice product.,4
370,Orange race mobile,Got McLaren edition as birthday gift from my friends...Too fast and facial recognition works like a charm...Very good battery life,5
371,Awesome product from OnePlus as well as Amazon delivery 😍,Likes- 1)Battery life is awesome  2)Camera quality - clearity  3) Mirror black is just awesome  4) Fast finger print and facelock,5
372,profile photo of the day of the day,nice wow that is what have a great weekend so you know that you will find herewith attached my updated,5
373,Fastest phone still in 2019,"Brought it from local store at same price 37999/- 8gb 128gb,*Really like -speed snapdragon 845touch sensitivity,daylight photos,animation,fast charging technology,Premium look,Oxygen os.*Don't likeFingerprint sometimes don't recognize,battery discharging is too fast,but it is negligible bcuz fast charger gives you 50-100% in less than 35 min,Lowlight photos should be improve, photos get blurred sometimes.Although its have glass back but putting cover it looks like a standard phone.",5
374,Overall phone is good,"Pros: Good camera ,Long lasting battery,Phone performance is good,overall the phone is good.Cons: Headphone jack but still its okay because they provide type c cable which helps to connect normal earphones to itHonestly speaking the phone is good I would suggest go for it ..Its worth the price",5
375,Awesome,Worth your money. Won't regret buying this phone. Everything is excellent. No compromises. Great performance and battery life. Go for it without worries.,5
376,Wait n See,Confused. Cancelled purchase can't opine. Lot many players have crooped up in this field. Choice is difficult and prices are high.,1
377,Superb Phone - Must buy,Overall its a super phone and you must buy without second thought.,5
378,Review,Good,5
379,Must buy n amazing camera,"Total value for money, amazing camera",5
380,A good all round phone with a decent camera,"Everything is good, only camera not upto the expectation but video recording is good.",4
381,Beaat Android phone,Beast phone. Using for past 3 months. Haven't encountered any issue. If you want a premium experience in Android phone then go for this one,5
382,Complaint,The phone is now black and white. No colourWhere I can repair,3
383,🔥,BEST PHONE IN THE WORLD RIGHT NOW IN THIS BUDGET! 🔥,5
384,Previous models had much better quality!,Camera keeps on crashing. I had to repair it exactly within 45days from the purchase but even after that the problem still persist. Pathetic technical service... Their only solution is factory reset!DO NOT fall for their product launch gimmic. Their product qualities are falling drastically.,2
385,Amazing phone!!,Finger print sensor is not exactly wat we expect from one plus!! Still I will give this phone all star for being such an amazing product,5
386,Nice product,"This product is awsome , the only thing that need to be improved is the camera",5
387,Number one mobile,"Awasome, Mind Blowing, Superb",5
388,Everything is good,One plus all is well I  love it OnePlusGood look feel good,5
389,Problem in incoming calll,I am faceing a very serious problem in my phone . When I get incoming call it's not audioble.  Every second call like this.. please help me out,1
390,Worth smartphone,Best phone bt no notification led nd 3.5 jack rest is all awsum,5
391,Nice,Nice phone,4
392,Best 5G phone available,Best u can expect from your mobile..... simply the best,5
393,Feedback,"Amazing product, you might finger print slow initially but the more you use it better it will become. Cheers :)",5
394,Review of one plus 6t,The phone is really good and under the screen fingerprint sensor is really cool and work very fast. camera quality is also extraordinary.,5
395,Brilliant Purchase,"This phone is worth all the money you pay.Battery Life is good.The display and interface is brilliant.I have been using it for 4 months and have been only impressed.The only issue is the fingerprint scanner,the fingers or the thumb needs to be in a particular angle so they the phone can be unlocked.Apart form the fingerprint sensor,the rest of the features of the phone are top notch.Worth the money you pay.",5
396,Consider buying one pluse 6T.,Packaging is good. Battery life is also good. Sleek and dynamic design.,5
397,Best FLAGSHIP you can get at this price,Writing this review after using the phone for 06 months.Pros:1. Build Quality excellent2. Camera superb3. Network reception is good4. Battery backup 7 hrs (I use it frequently for multiple tasks)5. Display is awesome... Nothing can beat AMOLED6. No lag and no sttuters. ( You can always expect high performance from a high end SoC like SD 845)7. Touch and Swipe : Smooth as butter8. OS and UI : Good but can be improved.9. Audio output is good.Cons:1. In-display fingerprint scanner is still in it's development phase so not as fast and relaible as the backside scanners.2.  I am FM lover and wonder which technology constraint is responsible for no FM reception in modern smartphones.3. IR blaster is a necessity and should be available in all smartphones.( My wish). So would have been better if they provided it.4. I know 3.5 Jack uses a lot of space and quality also suffers. But type C earphones are not that common in market upto this stage so it will take time to adjust.Finally very satisfied with One Plus 6T and it's really worth it's price,4
398,Best product,The product is worth the price.,5
399,One plus great,Osmm Mobile,5
400,Nice product,Just as described and shown.,5
401,ok,ok,5
402,Battery backup not good,Phone looks beautiful but the phone battery backup was not soo much good n phone getting heat while i use 10 min and within 1month I faced problems with this phone like battery problem phone heating etc...,4
403,Worth the price,The sound is loud and has a good quality . The display and camera are amazing,5
404,earphones,Not received any earphones,4
405,Good Phone but OnePlus 5 was better,"It's a very good phone but I had a OnePlus 5 prior to this and if I compare both then 5 had a better battery life, better finger print sensor and even it's Boca was better. Overall 6T has a better camera (except Boca) and better screen ratio. Speed and handling of both is the same",4
406,Ye bahut aachaa hai,Very good.thx.,5
407,Complete review,This product looks very nice but is finger print sensor is worst. It’s not working at all. Face lock quite good. After using 3 days I am modifying my review i am using iPhone 7 I thought to switch over android so I bought this product but it’s camera quality is not good in comparison to iPhone 7 I don’t play games yet it’s battery life max. 24 hrs. Processor is really fast. Looks good. I think I got defective product. I am going to get it replaced. And if this problem subsists with new device I will return this product and never shift to android.,3
408,Super man 1 plus,Finger print worst rest super man phone,5
409,Good phone,Value for money...thats all i could sum up my experience in .......hope it would be helpful for future buyer's..thank you,5
410,worth 38K,"worth buying , camera is excellent , night mode is awesome",5
411,Awesome,Awesome,5
412,Not happy with phone.,Wired Earphones not working. Screen becomes blank.,2
413,Worth the price..,"Overall a very good product..Not faced any issues till date.. except the fact that I didnt like fingerprint sensor.Btw, Camera is too awesome..Overall.. A must Buy..",5
414,",",Best Android phone,5
415,disappointed from one plus,camera quality is very poor and finger prints not working properly..face recognitions system is not as expected as it was...,1
416,Great phone,Finger print reader needs improvement,5
417,Loved the product,"The phone which I always wanted to have.. worth the product worth the buy, costed well .. thank you Amazon for great deals ..",5
418,over hyped phone - sub standard camera. No so good performance,"Yes, it is true, this phone is really overhyped so many issuesCons1. 4K video recording crashes the camera app and restarts2. picture quality without pro mode is really average. It smoothens out images too much, big disappointment there. Doesn't use the full capabilities of twin cameras. In my opinion, this is the most hyped camera without performance to match. If Google pixel gets 90 marks out of 100 one plus 6t will get 40.3. Performance is just ok, sometimes take considerable time to open simple apps and do moderate demanding tasks4. You will find it bit heavy5. Multitasking not allowed (out of the box support not available)6. You will accidentally take a lot of screenshots due to the position of power and volume button (no research is done here)7. No so loudspeakers - an average quality I would sayPros1. The display is really good2. UI is big plus Overall, I regret my decision to buy this phone.  I would prefer Pixel 2 in the same price range.",3
419,5,Good,5
420,Great Phone,Amazing phone! The best in class.,5
421,Bad Amazon courier,Product also good and but in side box also no headphones and no Charger no sim ejector pin bad Amazon so many times calling not solved the problem,5
422,One plus,No other has to compare with this phone,5
423,Must buy,"Awesome phone, charges really fast and the battery life is too good. Fingerprint scanner is really fast, over time it gets better and faster. Overall a really good phone",5
424,The best In phones,Loved 1plus always,5
425,Happy,Nice mobile,5
426,Don't believe this rating or words of people,"Did not like the phone at all , No proper sound with lot of echos , cannot even talk to people . Internet connectivity is too poor in this mobile , hangs up all the over ,keep waiting for  wapp message to go .Pls dont buy on words of people , might give some good phones on start otherwise its a complete deffective piece now in my hand and company showroom is 400 kms away from my place .",1
427,Nice product,Nice,4
428,Review after two months of usage,Over all the performance of the phone is very good and the speed of the phone is amazing. It's up there with the other flagship product.What can be improved :- Screen quality can be improved.Note:- Considering the cost difference with other flagship product this is a very good buy,5
429,Touch is worst,Touch not working properly and the send me unupdateted phone,1
430,Very nice,Very nice,5
431,Ek Number,Perfect phone,5
432,One plus is the boss,Amazing,5
433,Beast,Everything is perfect.,5
434,Excellent Performance but gets too hot while using some Applications,The CPU gets far too hot while using apps like Whatsapp Video,4
435,World best smart phone,It's dash charging,5
436,Never Settle,OnePlus phones are just amazing...buttery smooth with oxygen osand dash is just cream on top,5
437,Nice phone,"I felt fingerprint reader is slow, but except this working nicely",5
438,Nice mob,Ehee,5
439,Excellent,Perfect combination,5
440,Amazing product,"This product is awesome, camera is awesome. Fast fingerprint reader. No issues in performance.  Amazing battery life. Beautiful design. A must buy product",5
441,Awesome Phone,This is an awesome phone. Nothing is perfect they say on planet. But this phone is.,5
442,Awesome for android fans,Ppl have already commented on the same.. My opinion about it remains positive.,5
443,Good mobile,Finger print scanner not good,4
444,fantastic phone,"javaformula.comcom/java....having lot of java programs...it will help to crack interviewsAlgorithms, threads, designs, threads, collectionsOOPS, scala programs, SQL programs",5
445,Good,Good.,5
446,best phone ever,with 10 gb ram every thing is fast,5
447,Unhappy with performance.,"Pros : Camera quality is awesome, battery life is good face recognition working properly .Cons : fingerprint sensor not working as expected while clicking photos and recording 4K video it is going to back from camera. Clicking photos in 4x and 8x zoom quality is not good.",3
448,"One plus 6t,8GB Ram,128 GB storage capacity","Excellent mobile,very fast processing,excellent camera ,mind boggling shots and photos.",5
449,Fingerprint sensor works fine 7 out of 10 times.,Except the fingerprint sensor everything is good.,4
450,Great Device,Wonderful performance,5
451,Average Peoduct,Not as per sighted by media,3
452,Best device,Beat device this price  good performance,4
453,The box was damage just a little bit.,"Great camera, great UI , performance beast , but battery could've been bigger.",5
454,One plus one mobile phone,Nice,4
455,Awesome Product,Love It!! Never settleNo lags fast face unlock!!Camera quality are awesome particularly night mode😍,5
456,Prabesh Prasda,Wonderful phone,5
457,Beast,Best mobile under 50k,5
458,Awesome phone with No waterproof at all,No water proof,1
459,Battery slow run for shortly,Fingerprint reader I like,5
460,Good phone,Fingerprint reader is comparatively slowBattery life is good and,5
461,Best,Best 👌,5
462,Good Phone for present Technology,"1ONLY complaint is that the underscreen fingerprint sensore needs to get quicker. 2But not a huge deal when using face unlock.3This truly feels like a flagship!It's blazingly fast,4 Really well built and has a beautiful display. 5Camera is a hard sell but I like the natural look of the pictures.5Batteryis not bad 3700mah battery.",5
463,I got a spot on my screen,I got a spot on screen I want to replace my htc oneplus 6tContact me instantly,4
464,Camera,Camera quality is too much poor. West of money,1
465,Poor sound quality,They have very bad sound. I feel headache in just 5 mins after watching any video.,1
466,Never settled,No dislikes at all,5
467,Don't buy a ₹60000 or more expensive phone -the OnePlus 6T has everything you want at half the price,"LIKE:Great value and specs, fantastic battery life, Oxygen OS, actually delivered an under-the-screen fingerprint sensor, wider availability and carrier supportDON'T LIKE:No headphone jack, wireless charging, expandable storage, or official water-resistance rating; in-screen fingerprint recognition can be a bit finicky",5
468,4 stars.,Camera app is not upto the expectations.I Had to download an external camera app to use lenses at full potential.,5
469,Awesomeeeeee,Awesome phone,5
470,One Plus Shabbir,"Fingerprint is slow, not a gaming mobile when using pubg battery life is reduced everyday.",4
471,Best smartphone i have never seen before,What a product simply superb,5
472,Amazed,Excellent phone.,5
473,Value for money,Tooo good to believe.,5
474,Wooooooooo,Wanderfull love the camera,5
475,Good product,Nothing,5
476,Good,"Good mobile, connectivity is good, does not hang.",4
477,Not Upto The Mark..,Camera is not upto the mark I have S9+ its camera is far better than 1+ 6t only good is its user interface i.e oxygen OS... who said it is flagship killer... Ghanta!!!!,1
478,Battery problem,Battery drain very fast,1
479,My mobile gets heated up & Hangs.,"Nowdays, My mobile gets heated up regularly while playing games within 30mins only. And also my mobile hangs once or twice a day. Request you to kindly rectify these issues as I always love to be a part of ""ONEPLUS COMMUNITY"".Thank you.",2
480,Perfect,"Best mobile,superb camera, fastest",5
481,Worst,Its body are just not good .8 daysafter purchasing,3
482,Best in class,Flawless product,5
483,Flagship of the year,I m always fan of one plus...and his dash charging is awesome..camera always good nd i m already mentioned the camera snapshot details during ..#Mathura#Prem mandir,5
484,Best phone ..one plus 6 T prove it in market ..and tecnology..,"Best phone in low budget .You can compare this from Iphone ...Here its some espacial feature.......Features & detailsCamera: 16+20 MP Dual rear camera with Optical Image Stabilization, Super slow motion, Nightscape and Studio Lighting | 16 MP front cameraDisplay: 6.41-inch(16.2 cms) Full HD+ Optic AMOLED display with 2340 x 1080 pixels resolution and an 86% screen-to-body ratioMemory, Storage & SIM: 6GB RAM | 128GB storage | Dual nano SIM with dual standby (4G+4G)Screen Unlock: In-screen fingerprint sensor. The OnePlus 6T unlocks in 0.34s for a seamless and intuitive unlock experienceOperating System and Processor: OxygenOS based on Android 9.0 Pie with 2.8GHz Qualcomm Snapdragon 845 octa-core processorBattery : 3700 mAh lithium-polymer battery with Fast Charge technologyIncluded in the Box: Screen Protector (pre-applied); Translucent Case; OnePlus Fast Charge Type-C Cable; OnePlus Fast Charge Power Adapter; SIM Tray Ejector; Quick Start Guide; Safety Information; OnePlus Type-C to 3.5mm Audio Jack AdapterProduct information 6+128 GB , Mirror BlackOS AndroidRAM 6 GBManufacturer OnePlusProduct Dimensions 15.8 x 0.8 x 7.5 cmItem model number A6010Wireless communication technologies Bluetooth;WiFi HotspotConnectivity technologies 2G;3G;GPS;GLONASS;Galileo;BeiDou;USB 2.0;OTG;WiFi 802.11 a/b/g/n/acSpecial features SIM;GPS;Music Player;Video Player;E-mailOther camera features 16MP (Front camera)Form factor Touchscreen PhoneWeight 186 GramsColour Mirror BlackBattery Power Rating 3700Whats in the box Handset, Screen Protector (pre-applied), Translucent Case, OnePlus Fast Charge Type-C Cable, OnePlus Fast Charge Power Adapter, SIM Tray Ejector, Quick Start Guide, Safety Information and Type-C to 3.5mm Audio Jack AdapterAdditional InformationASIN: B07DJD1Y3QCustomer Reviews: 4.5 out of 5 stars 14,995ReviewsBest Sellers Rank: 45Date First Available: 31 Oct 2018User Manual [PDF ]Warranty & SupportWarranty Details: 1 year manufacturer warranty from the date of purchase",5
485,Wonderful Phone,One of the best phones available. Great camera quality.,5
486,A good Phone,A good product,5
487,Best among android,Value for money,5
488,Good,Good,5
489,Bad quality of Back Panel,"Fallen from hand, oops Back panel broken! Oneplus 6t quality is pretty bad.",2
490,A big fan of One Plus,Baby you are worth it!!,4
491,Good phone.,"Too good phone. Have been using it for quite sometime now. No issues yet. Camera is very nice for day light photos, not that good for low light photos. Good battery life as well.",5
492,Excellent,Excellent,5
493,awesome,luv oneplus 6t,5
494,Good,Good,5
495,Worst mobile I purchased yet,"Hang when I use chrome,I don't know why?",1
496,Ok,Ok,3
497,Cash back,Why not get a cashback and,5
498,Better than best phone in the market.,I don't know how to express my gratitude for this product. I love this and I hope one plus 7 will be better than 6T.,5
499,Top model,It was my dream to use one plus so finally its mine i would like to thnx Amazon becz there was Amazon fest where i could bought this phone in my budget thnku one plus and AmazonThis phone are awesome in everything.,5
